week,slot,platform,status,scheduled_date,scheduled_time,timezone,published_date,post_url,task_id,script_id,guardian_id,guardian_name,content_angle,title,utm_content,tracked_url,views,likes,comments,shares,profile_clicks,site_clicks,quiz_starts,quiz_completions,guardian_result_clicks,resources_clicks,repair_plan_clicks,luna_clicks,keepsake_clicks,free_keepsake_downloads,supply_lead_requests,luna_pack_clicks,affiliate_book_clicks,contact_requests,notes
1,1,youtube_shorts,planned,2026-06-15,20:30,Asia/Taipei,,,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,情感錯頻情境,他沉默時，你最想聽見哪一句話？,iris_silence,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,,,,,,,,,,,,,,,,,,第一支先測「沉默/已讀」痛點
1,1,tiktok,planned,2026-06-15,21:00,Asia/Taipei,,,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,情感錯頻情境,他沉默時，你最想聽見哪一句話？,iris_silence,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,,,,,,,,,,,,,,,,,,第一支先測「沉默/已讀」痛點
1,1,instagram_reels,planned,2026-06-15,21:30,Asia/Taipei,,,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,情感錯頻情境,他沉默時，你最想聽見哪一句話？,iris_silence,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,,,,,,,,,,,,,,,,,,第一支先測「沉默/已讀」痛點
1,2,youtube_shorts,planned,2026-06-17,20:30,Asia/Taipei,,,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,守護者人格認同,哪一句肯定，會讓你瞬間安心？,iris_affirmation,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,,,,,,,,,,,,,,,,,,,留言引導收集想被聽見的句子
1,2,tiktok,planned,2026-06-17,21:00,Asia/Taipei,,,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,守護者人格認同,哪一句肯定，會讓你瞬間安心？,iris_affirmation,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,,,,,,,,,,,,,,,,,,,留言引導收集想被聽見的句子
1,2,instagram_reels,planned,2026-06-17,21:30,Asia/Taipei,,,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,守護者人格認同,哪一句肯定，會讓你瞬間安心？,iris_affirmation,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,,,,,,,,,,,,,,,,,,,留言引導收集想被聽見的句子
1,3,youtube_shorts,planned,2026-06-19,20:30,Asia/Taipei,,,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,測驗入口,你真的太敏感嗎？還是你只是等一句清楚的話？,iris_too_sensitive,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,,,,,,,,,,,,,,,,,,,導向肯定言詞測驗動機
1,3,tiktok,planned,2026-06-19,21:00,Asia/Taipei,,,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,測驗入口,你真的太敏感嗎？還是你只是等一句清楚的話？,iris_too_sensitive,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,,,,,,,,,,,,,,,,,,,導向肯定言詞測驗動機
1,3,instagram_reels,planned,2026-06-19,21:30,Asia/Taipei,,,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,測驗入口,你真的太敏感嗎？還是你只是等一句清楚的話？,iris_too_sensitive,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,,,,,,,,,,,,,,,,,,,導向肯定言詞測驗動機
2,1,youtube_shorts,planned,2026-06-22,20:30,Asia/Taipei,,,publish-lt-s04-noah-phone,lt-s04-noah-phone,noah,諾雅,情感錯頻情境,約會時他一直看手機，你真正難過的是什麼？,noah_phone,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,,,,,,,,,,,,,,,,,,測試約會分心共鳴
2,1,tiktok,planned,2026-06-22,21:00,Asia/Taipei,,,publish-lt-s04-noah-phone,lt-s04-noah-phone,noah,諾雅,情感錯頻情境,約會時他一直看手機，你真正難過的是什麼？,noah_phone,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,,,,,,,,,,,,,,,,,,測試約會分心共鳴
2,1,instagram_reels,planned,2026-06-22,21:30,Asia/Taipei,,,publish-lt-s04-noah-phone,lt-s04-noah-phone,noah,諾雅,情感錯頻情境,約會時他一直看手機，你真正難過的是什麼？,noah_phone,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,,,,,,,,,,,,,,,,,,測試約會分心共鳴
2,2,youtube_shorts,planned,2026-06-24,20:30,Asia/Taipei,,,publish-lt-s05-noah-cancel,lt-s05-noah-cancel,noah,諾雅,守護者人格認同,約定一再被取消，你會怎麼保護自己？,noah_cancel,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel,,,,,,,,,,,,,,,,,,,適合遠距/忙碌受眾
2,2,tiktok,planned,2026-06-24,21:00,Asia/Taipei,,,publish-lt-s05-noah-cancel,lt-s05-noah-cancel,noah,諾雅,守護者人格認同,約定一再被取消，你會怎麼保護自己？,noah_cancel,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel,,,,,,,,,,,,,,,,,,,適合遠距/忙碌受眾
2,2,instagram_reels,planned,2026-06-24,21:30,Asia/Taipei,,,publish-lt-s05-noah-cancel,lt-s05-noah-cancel,noah,諾雅,守護者人格認同,約定一再被取消，你會怎麼保護自己？,noah_cancel,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel,,,,,,,,,,,,,,,,,,,適合遠距/忙碌受眾
2,3,youtube_shorts,planned,2026-06-26,20:30,Asia/Taipei,,,publish-lt-s06-noah-quiet-time,lt-s06-noah-quiet-time,noah,諾雅,測驗入口,你最想被怎樣陪伴？,noah_quiet_time,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time,,,,,,,,,,,,,,,,,,,強化 15 分鐘陪伴概念
2,3,tiktok,planned,2026-06-26,21:00,Asia/Taipei,,,publish-lt-s06-noah-quiet-time,lt-s06-noah-quiet-time,noah,諾雅,測驗入口,你最想被怎樣陪伴？,noah_quiet_time,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time,,,,,,,,,,,,,,,,,,,強化 15 分鐘陪伴概念
2,3,instagram_reels,planned,2026-06-26,21:30,Asia/Taipei,,,publish-lt-s06-noah-quiet-time,lt-s06-noah-quiet-time,noah,諾雅,測驗入口,你最想被怎樣陪伴？,noah_quiet_time,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time,,,,,,,,,,,,,,,,,,,強化 15 分鐘陪伴概念
3,1,youtube_shorts,planned,2026-06-29,20:30,Asia/Taipei,,,publish-lt-s07-vivian-remembered,lt-s07-vivian-remembered,vivian,薇薇安,情感錯頻情境,你在乎的真的是禮物嗎？,vivian_remembered,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,,,,,,,,,,,,,,,,,,釐清禮物不等於物質
3,1,tiktok,planned,2026-06-29,21:00,Asia/Taipei,,,publish-lt-s07-vivian-remembered,lt-s07-vivian-remembered,vivian,薇薇安,情感錯頻情境,你在乎的真的是禮物嗎？,vivian_remembered,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,,,,,,,,,,,,,,,,,,釐清禮物不等於物質
3,1,instagram_reels,planned,2026-06-29,21:30,Asia/Taipei,,,publish-lt-s07-vivian-remembered,lt-s07-vivian-remembered,vivian,薇薇安,情感錯頻情境,你在乎的真的是禮物嗎？,vivian_remembered,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,,,,,,,,,,,,,,,,,,釐清禮物不等於物質
3,2,youtube_shorts,planned,2026-07-01,20:30,Asia/Taipei,,,publish-lt-s08-vivian-forgotten-date,lt-s08-vivian-forgotten-date,vivian,薇薇安,守護者人格認同,重要日子被忘記，你最痛的是哪裡？,vivian_forgotten_date,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_forgotten_date,,,,,,,,,,,,,,,,,,,節日/紀念日題材可配合日期
