platform,task_id,script_id,guardian_id,phase,check_id,required_evidence,expected_value,tracked_url,proof_file,check_command,write_command,evidence_value,operator_status,notes
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-vertical_video,vertical_video,確認 9:16 直式影片可播放，長度符合 YouTube Shorts 節奏。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,實際影片檔路徑、平台預覽截圖或剪輯輸出紀錄。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-subtitle_readability,subtitle_readability,字幕短句、無錯字、手機尺寸不遮擋主體，保留 A/B/C 互動。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,手機預覽截圖或字幕 QA 記錄。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-cover_or_first_frame,cover_or_first_frame,首幀能在 1 秒內看懂情緒鉤子與守護者氛圍。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,封面圖、首幀截圖或平台草稿預覽。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-guardian_universe_match,guardian_universe_match,使用 艾莉絲 / iris 的色彩、象徵物與情緒設定，不混用其他守護者。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,畫面截圖或素材清單。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-caption_quiz_cta,caption_quiz_cta,Caption 主 CTA 維持 15-question quiz，不加入商品、Luna 或聯盟導購作為第一動作。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,平台 caption 草稿。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-tracked_url_utm,tracked_url_utm,連結保留 utm_content=iris_silence，且指向 /start/。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,平台草稿中的連結或點擊後網址。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-safety_boundary,safety_boundary,無診斷、療效、保證修復、必須購買或危機支援承諾。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,最終字幕與 caption 檢查紀錄。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,pre_publish_asset_qa,youtube_shorts-publish-lt-s01-iris-silence-writeback_ready,writeback_ready,發布後可取得 https post URL、發布日期、proof note，並使用 post text import 回填。,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,post text import 模板已準備。
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,post_publish_writeback,youtube_shorts-publish-lt-s01-iris-silence-profile_gate_passed,profile_gate_passed,launch readiness ready_to_publish=1 after all active profile links are set/live.,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,Complete after the public post exists; then validate the proof text before writeback.
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,post_publish_writeback,youtube_shorts-publish-lt-s01-iris-silence-public_post_url_present,public_post_url_present,The platform post has a public HTTPS URL.,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,Complete after the public post exists; then validate the proof text before writeback.
